,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: MEI 2024,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,185.013,69.963,26.633,281.609,
2,2 Mei 2024,,148.613,57.298,25.567,231.478,
3,3 Mei 2024,,185.635,66.703,27.783,280.121,
4,4 Mei 2024,,162.905,66.811,32.650,262.366,
5,5 Mei 2024,,185.156,77.105,25.781,288.042,
6,6 Mei 2024,,132.394,65.332,26.447,224.173,
7,7 Mei 2024,,131.300,73.922,20.660,225.882,
8,8 Mei 2024,,138.682,75.842,26.904,241.428,
9,9 Mei 2024,,145.227,69.217,15.346,229.790,
10,10 Mei 2024,,83.315,70.686,17.916,171.917,
11,11 Mei 2024,,96.864,80.354,18.746,195.964,
12,12 Mei 2024,,136.910,72.175,14.803,223.888,
13,13 Mei 2024,,116.389,82.775,25.296,224.460,
14,14 Mei 2024,,136.340,84.449,21.273,242.062,
15,15 Mei 2024,,161.911,77.932,22.331,262.174,
16,16 Mei 2024,,173.055,71.573,26.832,271.460,
17,17 Mei 2024,,136.714,64.963,27.918,229.595,
18,18 Mei 2024,,158.986,65.700,23.944,248.630,
19,19 Mei 2024,,154.378,65.911,28.749,249.038,
20,20 Mei 2024,,154.000,72.316,29.668,255.984,
21,21 Mei 2024,,120.505,69.223,19.673,209.401,
22,22 Mei 2024,,136.653,61.731,29.105,227.489,
23,23 Mei 2024,,179.314,67.401,21.034,267.749,
24,24 Mei 2024,,183.023,66.596,23.649,273.268,
25,25 Mei 2024,,180.926,66.500,22.820,270.246,
26,26 Mei 2024,,174.082,63.860,29.455,267.397,
27,27 Mei 2024,,141.930,65.369,30.755,238.054,
28,28 Mei 2024,,132.903,67.298,26.758,226.959,
29,29 Mei 2024,,171.608,63.485,29.197,264.290,
30,30 Mei 2024,,189.591,67.009,26.866,283.466,
TOTAL,,,4.534.322,2.089.499,744.559,7.368.380,
,,,,,,,
II.Kendaraan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,211.406,78.493,19.362,309.261,
2,2 Mei 2024,,208.941,72.901,17.694,299.536,
3,3 Mei 2024,,225.937,77.553,18.023,321.513,
4,4 Mei 2024,,222.617,79.759,17.485,319.861,
5,5 Mei 2024,,226.657,84.723,17.384,328.764,
6,6 Mei 2024,,173.714,73.368,16.213,263.295,
7,7 Mei 2024,,166.298,83.866,14.758,264.922,
8,8 Mei 2024,,181.878,88.016,15.152,285.046,
9,9 Mei 2024,,177.814,76.575,12.068,266.457,
10,10 Mei 2024,,115.645,78.184,11.976,205.805,
11,11 Mei 2024,,128.473,85.927,13.132,227.532,
12,12 Mei 2024,,134.503,75.984,11.436,221.923,
13,13 Mei 2024,,148.943,92.454,14.387,255.784,
14,14 Mei 2024,,164.949,91.646,12.620,269.215,
15,15 Mei 2024,,187.469,86.014,14.226,287.709,
16,16 Mei 2024,,196.385,77.723,14.348,288.456,
17,17 Mei 2024,,183.388,71.402,17.107,271.897,
18,18 Mei 2024,,189.124,75.855,18.868,283.847,
19,19 Mei 2024,,198.541,80.920,18.183,297.644,
20,20 Mei 2024,,197.674,81.358,16.215,295.247,
21,21 Mei 2024,,140.361,75.845,17.377,233.583,
22,22 Mei 2024,,196.502,73.098,18.848,288.448,
23,23 Mei 2024,,213.236,74.881,19.490,307.607,
24,24 Mei 2024,,212.813,73.258,16.986,303.057,
25,25 Mei 2024,,217.248,75.267,17.758,310.273,
26,26 Mei 2024,,212.216,76.604,17.136,305.956,
27,27 Mei 2024,,187.954,78.312,15.583,281.849,
28,28 Mei 2024,,164.480,75.791,13.282,253.553,
29,29 Mei 2024,,211.680,73.360,17.153,302.193,
30,30 Mei 2024,,229.311,75.281,16.771,321.363,
TOTAL,,,5.626.157,2.364.418,481.021,8.471.596,
,,,,,,,
III.Jumlah Kendaraan Masuk dan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,396.419,148.456,45.995,590.870,
2,2 Mei 2024,,357.554,130.199,43.261,531.014,
3,3 Mei 2024,,411.572,144.256,45.806,601.634,
4,4 Mei 2024,,385.522,146.570,50.135,582.227,
5,5 Mei 2024,,411.813,161.828,43.165,616.806,
6,6 Mei 2024,,306.108,138.700,42.660,487.468,
7,7 Mei 2024,,297.598,157.788,35.418,490.804,
8,8 Mei 2024,,320.560,163.858,42.056,526.474,
9,9 Mei 2024,,323.041,145.792,27.414,496.247,
10,10 Mei 2024,,198.960,148.870,29.892,377.722,
11,11 Mei 2024,,225.337,166.281,31.878,423.496,
12,12 Mei 2024,,271.413,148.159,26.239,445.811,
13,13 Mei 2024,,265.332,175.229,39.683,480.244,
14,14 Mei 2024,,301.289,176.095,33.893,511.277,
15,15 Mei 2024,,349.380,163.946,36.557,549.883,
16,16 Mei 2024,,369.440,149.296,41.180,559.916,
17,17 Mei 2024,,320.102,136.365,45.025,501.492,
18,18 Mei 2024,,348.110,141.555,42.812,532.477,
19,19 Mei 2024,,352.919,146.831,46.932,546.682,
20,20 Mei 2024,,351.674,153.674,45.883,551.231,
21,21 Mei 2024,,260.866,145.068,37.050,442.984,
22,22 Mei 2024,,333.155,134.829,47.953,515.937,
23,23 Mei 2024,,392.550,142.282,40.524,575.356,
24,24 Mei 2024,,395.836,139.854,40.635,576.325,
25,25 Mei 2024,,398.174,141.767,40.578,580.519,
26,26 Mei 2024,,386.298,140.464,46.591,573.353,
27,27 Mei 2024,,329.884,143.681,46.338,519.903,
28,28 Mei 2024,,297.383,143.089,40.040,480.512,
29,29 Mei 2024,,383.288,136.845,46.350,566.483,
30,30 Mei 2024,,418.902,142.290,43.637,604.829,
TOTAL,,,10.160.479,4.453.917,1.225.580,15.839.976,
