,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: MEI 2025,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,159.958,57.362,32.350,249.670,
2,2 Mei 2024,,211.507,62.265,29.356,303.128,
3,3 Mei 2024,,203.595,66.878,31.330,301.803,
4,4 Mei 2024,,157.863,60.902,28.945,247.710,
5,5 Mei 2024,,210.552,62.416,32.707,305.675,
6,6 Mei 2024,,194.985,59.741,32.130,286.856,
7,7 Mei 2024,,142.455,49.648,34.193,226.296,
8,8 Mei 2024,,189.646,64.368,34.218,288.232,
9,9 Mei 2024,,201.199,66.872,30.650,298.721,
10,10 Mei 2024,,192.438,68.189,33.998,294.625,
11,11 Mei 2024,,148.994,68.614,30.067,247.675,
12,12 Mei 2024,,138.902,64.838,30.821,234.561,
13,13 Mei 2024,,160.646,64.060,32.306,257.012,
14,14 Mei 2024,,188.811,60.802,30.192,279.805,
15,15 Mei 2024,,155.264,56.312,26.149,237.725,
16,16 Mei 2024,,179.497,63.153,30.692,273.342,
17,17 Mei 2024,,173.461,66.887,30.207,270.555,
18,18 Mei 2024,,142.438,59.069,26.333,227.840,
19,19 Mei 2024,,172.440,60.686,32.765,265.891,
20,20 Mei 2024,,200.539,60.375,30.122,291.036,
21,21 Mei 2024,,203.336,61.554,29.361,294.251,
22,22 Mei 2024,,207.018,61.892,30.486,299.396,
23,23 Mei 2024,,215.182,65.956,30.875,312.013,
24,24 Mei 2024,,197.315,63.902,33.441,294.658,
25,25 Mei 2024,,141.086,55.974,29.136,226.196,
26,26 Mei 2024,,208.952,64.758,25.541,299.251,
27,27 Mei 2024,,208.395,60.562,27.942,296.899,
28,28 Mei 2024,,209.475,62.359,36.436,308.270,
29,29 Mei 2024,,155.936,58.319,30.356,244.611,
30,30 Mei 2024,,137.898,54.685,36.933,229.516,
31,31 Mei 2024,,156.052,57.479,25.223,238.754,
TOTAL,,,5.565.835,1.910.877,955.261,8.431.973,
,,,,,,,
II.Kendaraan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,155.135,60.203,15.071,230.409,
2,2 Mei 2024,,196.055,65.108,17.336,278.499,
3,3 Mei 2024,,189.858,70.386,17.914,278.158,
4,4 Mei 2024,,158.971,66.063,13.163,238.197,
5,5 Mei 2024,,197.646,67.359,17.687,282.692,
6,6 Mei 2024,,187.003,60.902,18.337,266.242,
7,7 Mei 2024,,162.843,55.507,18.955,237.305,
8,8 Mei 2024,,193.714,64.729,17.919,276.362,
9,9 Mei 2024,,195.623,68.907,18.056,282.586,
10,10 Mei 2024,,195.783,72.259,16.753,284.795,
11,11 Mei 2024,,142.288,71.518,14.118,227.924,
12,12 Mei 2024,,145.449,67.740,12.930,226.119,
13,13 Mei 2024,,147.275,60.956,17.967,226.198,
14,14 Mei 2024,,177.109,61.927,18.291,257.327,
15,15 Mei 2024,,179.223,59.834,18.142,257.199,
16,16 Mei 2024,,158.776,59.419,17.418,235.613,
17,17 Mei 2024,,153.106,63.003,17.547,233.656,
18,18 Mei 2024,,138.112,60.709,13.472,212.293,
19,19 Mei 2024,,159.176,59.324,16.827,235.327,
20,20 Mei 2024,,182.815,55.839,14.695,253.349,
21,21 Mei 2024,,193.297,61.189,17.207,271.693,
22,22 Mei 2024,,199.814,62.136,16.762,278.712,
23,23 Mei 2024,,208.561,65.894,16.154,290.609,
24,24 Mei 2024,,195.614,65.100,14.029,274.743,
25,25 Mei 2024,,135.467,59.904,11.533,206.904,
26,26 Mei 2024,,197.164,64.849,16.252,278.265,
27,27 Mei 2024,,201.105,61.643,17.188,279.936,
28,28 Mei 2024,,206.882,64.449,16.263,287.594,
29,29 Mei 2024,,148.985,62.933,14.591,226.509,
30,30 Mei 2024,,154.383,61.563,15.302,231.248,
31,31 Mei 2024,,121.186,46.273,13.819,181.278,
TOTAL,,,5.378.418,1.947.625,501.698,7.827.741,
,,,,,,,
III.Jumlah Kendaraan Masuk dan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,315.093,117.565,47.421,480.079,
2,2 Mei 2024,,407.562,127.373,46.692,581.627,
3,3 Mei 2024,,393.453,137.264,49.244,579.961,
4,4 Mei 2024,,316.834,126.965,42.108,485.907,
5,5 Mei 2024,,408.198,129.775,50.394,588.367,
6,6 Mei 2024,,381.988,120.643,50.467,553.098,
7,7 Mei 2024,,305.298,105.155,53.148,463.601,
8,8 Mei 2024,,383.360,129.097,52.137,564.594,
9,9 Mei 2024,,396.822,135.779,48.706,581.307,
10,10 Mei 2024,,388.221,140.448,50.751,579.420,
11,11 Mei 2024,,291.282,140.132,44.185,475.599,
12,12 Mei 2024,,284.351,132.578,43.751,460.680,
13,13 Mei 2024,,307.921,125.016,50.273,483.210,
14,14 Mei 2024,,365.920,122.729,48.483,537.132,
15,15 Mei 2024,,334.487,116.146,44.291,494.924,
16,16 Mei 2024,,338.273,122.572,48.110,508.955,
17,17 Mei 2024,,326.567,129.890,47.754,504.211,
18,18 Mei 2024,,280.550,119.778,39.805,440.133,
19,19 Mei 2024,,331.616,120.010,49.592,501.218,
20,20 Mei 2024,,383.354,116.214,44.817,544.385,
21,21 Mei 2024,,396.633,122.743,46.568,565.944,
22,22 Mei 2024,,406.832,124.028,47.248,578.108,
23,23 Mei 2024,,423.743,131.850,47.029,602.622,
24,24 Mei 2024,,392.929,129.002,47.470,569.401,
25,25 Mei 2024,,276.553,115.878,40.669,433.100,
26,26 Mei 2024,,406.116,129.607,41.793,577.516,
27,27 Mei 2024,,409.500,122.205,45.130,576.835,
28,28 Mei 2024,,416.357,126.808,52.699,595.864,
29,29 Mei 2024,,304.921,121.252,44.947,471.120,
