,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: AGUSTUS 2024,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 AGUSTUS 2024,,214.228,63.900,24.987,303.115,
2,2 AGUSTUS 2024,,156.679,60.302,26.478,243.459,
3,3 AGUSTUS 2024,,131.229,62.193,33.448,226.870,
4,4 AGUSTUS 2024,,108.257,57.493,32.065,197.815,
5,5 AGUSTUS 2024,,129.316,54.531,35.524,219.371,
6,6 AGUSTUS 2024,,156.020,57.770,33.797,247.587,
7,7 AGUSTUS 2024,,179.171,59.565,26.328,265.064,
8,8 AGUSTUS 2024,,186.522,62.885,29.090,278.497,
9,9 AGUSTUS 2024,,149.409,61.009,31.510,241.928,
10,10 AGUSTUS 2024,,161.049,68.576,33.505,263.130,
11,11 AGUSTUS 2024,,132.035,60.045,29.559,221.639,
12,12 AGUSTUS 2024,,136.297,55.433,33.158,224.888,
13,13 AGUSTUS 2024,,135.026,54.819,35.225,225.070,
14,14 AGUSTUS 2024,,128.558,54.660,30.367,213.585,
15,15 AGUSTUS 2024,,126.932,54.148,30.229,211.309,
16,16 AGUSTUS 2024,,132.537,53.904,31.960,218.401,
17,17 AGUSTUS 2024,,129.924,57.816,27.095,214.835,
18,18 AGUSTUS 2024,,108.541,53.560,26.172,188.273,
19,19 AGUSTUS 2024,,150.663,58.354,32.382,241.399,
20,20 AGUSTUS 2024,,141.591,56.310,32.850,230.751,
21,21 AGUSTUS 2024,,144.659,57.322,34.379,236.360,
22,22 AGUSTUS 2024,,185.595,61.630,30.818,278.043,
23,23 AGUSTUS 2024,,183.187,62.998,29.917,276.102,
24,24 AGUSTUS 2024,,136.425,65.598,34.562,236.585,
25,25 AGUSTUS 2024,,120.256,52.810,28.210,201.276,
26,26 AGUSTUS 2024,,182.228,67.624,35.410,285.262,
27,27 AGUSTUS 2024,,156.626,47.429,32.306,236.361,
28,28 AGUSTUS 2024,,188.705,63.179,31.317,283.201,
29,29 AGUSTUS 2024,,190.673,61.813,29.330,281.816,
30,30 AGUSTUS 2024,,139.560,59.350,36.554,235.464,
31,31 AGUSTUS 2024,,145.666,62.968,36.491,245.125,
TOTAL,,,4.667.564,1.829.994,975.023,7.472.581,
,,,,,,,
II.Kendaraan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 AGUSTUS 2024,,224.321,74.511,16.744,315.576,
2,2 AGUSTUS 2024,,209.182,70.851,14.676,294.709,
3,3 AGUSTUS 2024,,207.794,76.521,17.073,301.388,
4,4 AGUSTUS 2024,,150.477,68.921,13.327,232.725,
5,5 AGUSTUS 2024,,196.572,68.933,17.359,282.864,
6,6 AGUSTUS 2024,,215.346,72.062,19.167,306.575,
7,7 AGUSTUS 2024,,216.758,68.695,17.802,303.255,
8,8 AGUSTUS 2024,,203.255,68.170,18.078,289.503,
9,9 AGUSTUS 2024,,216.458,74.386,18.327,309.171,
10,10 AGUSTUS 2024,,206.100,77.818,17.587,301.505,
11,11 AGUSTUS 2024,,174.565,66.708,14.481,255.754,
12,12 AGUSTUS 2024,,196.171,67.346,18.061,281.578,
13,13 AGUSTUS 2024,,199.583,66.070,17.522,283.175,
14,14 AGUSTUS 2024,,176.818,60.687,16.573,254.078,
15,15 AGUSTUS 2024,,161.216,51.032,17.215,229.463,
16,16 AGUSTUS 2024,,185.795,62.201,17.446,265.442,
17,17 AGUSTUS 2024,,182.293,71.827,13.356,267.476,
18,18 AGUSTUS 2024,,145.914,66.479,12.954,225.347,
19,19 AGUSTUS 2024,,203.535,72.324,17.915,293.774,
20,20 AGUSTUS 2024,,204.367,70.909,18.934,294.210,
21,21 AGUSTUS 2024,,217.026,72.595,19.767,309.388,
22,22 AGUSTUS 2024,,213.559,69.537,19.187,302.283,
23,23 AGUSTUS 2024,,211.035,72.070,19.109,302.214,
24,24 AGUSTUS 2024,,194.626,79.036,20.359,294.021,
25,25 AGUSTUS 2024,,158.452,57.241,11.213,226.906,
26,26 AGUSTUS 2024,,208.159,74.445,19.987,302.591,
27,27 AGUSTUS 2024,,210.035,72.060,20.060,302.155,
28,28 AGUSTUS 2024,,215.193,68.919,19.865,303.977,
29,29 AGUSTUS 2024,,213.746,71.054,21.169,305.969,
30,30 AGUSTUS 2024,,184.072,66.210,22.235,272.517,
31,31 AGUSTUS 2024,,199.229,79.286,20.042,298.557,
TOTAL,,,6.101.652,2.158.904,547.590,8.808.146,
,,,,,,,
III.Jumlah Kendaraan Masuk dan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 AGUSTUS 2024,,438.549,138.411,41.731,618.691,
2,2 AGUSTUS 2024,,365.861,131.153,41.154,538.168,
3,3 AGUSTUS 2024,,339.023,138.714,50.521,528.258,
4,4 AGUSTUS 2024,,258.734,126.414,45.392,430.540,
5,5 AGUSTUS 2024,,325.888,123.464,52.883,502.235,
6,6 AGUSTUS 2024,,371.366,129.832,52.964,554.162,
7,7 AGUSTUS 2024,,395.929,128.260,44.130,568.319,
8,8 AGUSTUS 2024,,389.777,131.055,47.168,568.000,
9,9 AGUSTUS 2024,,365.867,135.395,49.837,551.099,
10,10 AGUSTUS 2024,,367.149,146.394,51.092,564.635,
11,11 AGUSTUS 2024,,306.600,126.753,44.040,477.393,
12,12 AGUSTUS 2024,,332.468,122.779,51.219,506.466,
13,13 AGUSTUS 2024,,334.609,120.889,52.747,508.245,
14,14 AGUSTUS 2024,,305.376,115.347,46.940,467.663,
15,15 AGUSTUS 2024,,288.148,105.180,47.444,440.772,
16,16 AGUSTUS 2024,,318.332,116.105,49.406,483.843,
17,17 AGUSTUS 2024,,312.217,129.643,40.451,482.311,
18,18 AGUSTUS 2024,,254.455,120.039,39.126,413.620,
