,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: OKTOBER 2024,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 OKTOBER 2024,,184.209,59.218,25.464,268.891,
2,2 OKTOBER 2024,,174.150,61.392,27.297,262.839,
3,3 OKTOBER 2024,,204.439,65.513,22.267,292.219,
4,4 OKTOBER 2024,,188.267,66.420,26.653,281.340,
5,5 OKTOBER 2024,,199.776,72.810,23.640,296.226,
6,6 OKTOBER 2024,,201.261,73.831,23.805,298.897,
7,7 OKTOBER 2024,,202.247,73.486,24.755,300.488,
8,8 OKTOBER 2024,,201.897,72.278,23.890,298.065,
9,9 OKTOBER 2024,,189.258,62.205,28.254,279.717,
10,10 OKTOBER 2024,,197.763,66.756,25.910,290.429,
11,11 OKTOBER 2024,,179.715,65.678,28.472,273.865,
12,12 OKTOBER 2024,,180.906,69.662,27.042,277.610,
13,13 OKTOBER 2024,,177.451,67.951,28.120,273.522,
14,14 OKTOBER 2024,,197.974,62.946,26.419,287.339,
15,15 OKTOBER 2024,,190.297,59.585,24.821,274.703,
16,16 OKTOBER 2024,,159.992,55.890,28.893,244.775,
17,17 OKTOBER 2024,,172.895,59.697,28.698,261.290,
18,18 OKTOBER 2024,,174.952,62.092,28.360,265.404,
19,19 OKTOBER 2024,,190.629,69.901,24.736,285.266,
20,20 OKTOBER 2024,,164.179,68.616,20.934,253.729,
21,21 OKTOBER 2024,,174.500,61.259,26.516,262.275,
22,22 OKTOBER 2024,,189.355,63.959,26.422,279.736,
23,23 OKTOBER 2024,,194.796,66.079,26.582,287.457,
24,24 OKTOBER 2024,,174.957,60.414,29.008,264.379,
25,25 OKTOBER 2024,,182.808,61.614,27.936,272.358,
26,26 OKTOBER 2024,,182.391,66.652,29.742,278.785,
27,27 OKTOBER 2024,,147.174,58.115,24.318,229.607,
28,28 OKTOBER 2024,,195.003,64.738,28.399,288.140,
29,29 OKTOBER 2024,,185.527,60.649,28.111,274.287,
30,30 OKTOBER 2024,,156.363,57.990,27.866,242.219,
31,31 OKTOBER 2024,,188.677,49.986,24.384,263.047,
TOTAL,,,5.703.808,1.987.382,817.714,8.508.904,
,,,,,,,
II.Kendaraan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 OKTOBER 2024,,228.957,73.953,18.645,321.555,
2,2 OKTOBER 2024,,214.275,73.373,22.120,309.768,
3,3 OKTOBER 2024,,235.047,77.330,21.158,333.535,
4,4 OKTOBER 2024,,235.409,79.397,20.165,334.971,
5,5 OKTOBER 2024,,229.842,84.581,20.821,335.244,
6,6 OKTOBER 2024,,234.036,87.458,21.755,343.249,
7,7 OKTOBER 2024,,234.436,87.540,21.050,343.026,
8,8 OKTOBER 2024,,226.993,83.543,21.981,332.517,
9,9 OKTOBER 2024,,220.515,78.725,20.930,320.170,
10,10 OKTOBER 2024,,225.632,80.906,21.265,327.803,
11,11 OKTOBER 2024,,208.424,65.233,18.227,291.884,
12,12 OKTOBER 2024,,213.916,83.948,21.528,319.392,
13,13 OKTOBER 2024,,175.954,78.196,16.554,270.704,
14,14 OKTOBER 2024,,226.763,74.525,19.723,321.011,
15,15 OKTOBER 2024,,211.067,68.255,18.968,298.290,
16,16 OKTOBER 2024,,200.965,66.446,19.503,286.914,
17,17 OKTOBER 2024,,219.080,73.552,19.087,311.719,
18,18 OKTOBER 2024,,225.173,75.532,19.511,320.216,
19,19 OKTOBER 2024,,220.874,82.189,19.564,322.627,
20,20 OKTOBER 2024,,178.506,76.163,22.987,277.656,
21,21 OKTOBER 2024,,206.312,70.644,17.701,294.657,
22,22 OKTOBER 2024,,225.419,74.775,18.541,318.735,
23,23 OKTOBER 2024,,222.880,80.935,21.565,325.380,
24,24 OKTOBER 2024,,229.747,81.695,20.498,331.940,
25,25 OKTOBER 2024,,222.691,78.188,19.441,320.320,
26,26 OKTOBER 2024,,218.305,81.507,16.919,316.731,
27,27 OKTOBER 2024,,172.131,78.751,16.122,267.004,
28,28 OKTOBER 2024,,230.445,77.692,20.833,328.970,
29,29 OKTOBER 2024,,195.099,64.789,17.941,277.829,
30,30 OKTOBER 2024,,213.810,71.278,19.934,305.022,
31,31 OKTOBER 2024,,215.976,75.346,21.369,312.691,
TOTAL,,,6.718.679,2.386.445,616.406,9.721.530,
,,,,,,,
III.Jumlah Kendaraan Masuk dan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 OKTOBER 2024,,413.166,133.171,44.109,590.446,
2,2 OKTOBER 2024,,388.425,134.765,49.417,572.607,
3,3 OKTOBER 2024,,439.486,142.843,43.425,625.754,
4,4 OKTOBER 2024,,423.676,145.817,46.818,616.311,
5,5 OKTOBER 2024,,429.618,157.391,44.461,631.470,
6,6 OKTOBER 2024,,435.297,161.289,45.560,642.146,
7,7 OKTOBER 2024,,436.683,161.026,45.805,643.514,
8,8 OKTOBER 2024,,428.890,155.821,45.871,630.582,
9,9 OKTOBER 2024,,409.773,140.930,49.184,599.887,
10,10 OKTOBER 2024,,423.395,147.662,47.175,618.232,
11,11 OKTOBER 2024,,388.139,130.911,46.699,565.749,
12,12 OKTOBER 2024,,394.822,153.610,48.570,597.002,
13,13 OKTOBER 2024,,353.405,146.147,44.674,544.226,
14,14 OKTOBER 2024,,424.737,137.471,46.142,608.350,
15,15 OKTOBER 2024,,401.364,127.840,43.789,572.993,
16,16 OKTOBER 2024,,360.957,122.336,48.396,531.689,
17,17 OKTOBER 2024,,391.975,133.249,47.785,573.009,
18,18 OKTOBER 2024,,400.125,137.624,47.871,585.620,
19,19 OKTOBER 2024,,411.503,152.090,44.300,607.893,
20,20 OKTOBER 2024,,342.685,144.779,43.921,531.385,
