,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: DESEMBER 2024,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 DESEMBER 2024,,157.093,60.696,18.362,236.151,
2,2 DESEMBER 2024,,182.755,68.345,25.564,276.664,
3,3 DESEMBER 2024,,181.475,65.835,26.729,274.039,
4,4 DESEMBER 2024,,196.828,67.415,22.258,286.501,
5,5 DESEMBER 2024,,174.331,64.424,23.526,262.281,
6,6 DESEMBER 2024,,170.674,71.978,26.238,268.890,
7,7 DESEMBER 2024,,159.350,67.991,23.507,250.848,
8,8 DESEMBER 2024,,154.054,66.824,23.078,243.956,
9,9 DESEMBER 2024,,152.000,63.631,22.972,238.603,
10,10 DESEMBER 2024,,168.645,66.067,20.696,255.408,
11,11 DESEMBER 2024,,168.697,68.135,24.486,261.318,
12,12 DESEMBER 2024,,187.957,67.735,20.285,275.977,
13,13 DESEMBER 2024,,191.553,63.707,17.658,272.918,
14,14 DESEMBER 2024,,179.339,72.839,21.169,273.347,
15,15 DESEMBER 2024,,155.909,64.789,18.412,239.110,
16,16 DESEMBER 2024,,203.450,66.198,22.657,292.305,
17,17 DESEMBER 2024,,173.832,56.663,21.043,251.538,
18,18 DESEMBER 2024,,169.268,55.730,24.340,249.338,
19,19 DESEMBER 2024,,171.154,64.253,31.798,267.205,
20,20 DESEMBER 2024,,193.681,74.985,29.240,297.906,
21,21 DESEMBER 2024,,182.780,77.672,30.520,290.972,
22,22 DESEMBER 2024,,161.499,76.852,28.074,266.425,
23,23 DESEMBER 2024,,183.058,73.334,29.669,286.061,
24,24 DESEMBER 2024,,183.876,78.183,26.034,288.093,
25,25 DESEMBER 2024,,145.302,76.578,21.220,243.100,
26,26 DESEMBER 2024,,172.967,76.811,25.389,275.167,
27,27 DESEMBER 2024,,189.513,75.738,28.305,293.556,
28,28 DESEMBER 2024,,182.972,81.863,26.542,291.377,
29,29 DESEMBER 2024,,159.846,78.974,20.864,259.684,
30,30 DESEMBER 2024,,161.514,74.928,27.040,263.482,
31,31 DESEMBER 2024,,200.803,71.015,19.353,291.171,
TOTAL,,,5.416.175,2.160.188,747.028,8.323.391,
,,,,,,,
II.Kendaraan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 DESEMBER 2024,,173.853,74.447,16.508,264.808,
2,2 DESEMBER 2024,,199.391,75.885,25.166,300.442,
3,3 DESEMBER 2024,,204.805,76.359,22.885,304.049,
4,4 DESEMBER 2024,,205.137,73.911,23.072,302.120,
5,5 DESEMBER 2024,,185.029,76.069,24.509,285.607,
6,6 DESEMBER 2024,,184.716,82.395,23.981,291.092,
7,7 DESEMBER 2024,,164.821,79.569,22.646,267.036,
8,8 DESEMBER 2024,,154.662,76.338,18.563,249.563,
9,9 DESEMBER 2024,,179.150,67.455,18.337,264.942,
10,10 DESEMBER 2024,,164.327,71.514,20.973,256.814,
11,11 DESEMBER 2024,,179.967,76.158,23.289,279.414,
12,12 DESEMBER 2024,,196.635,78.350,23.456,298.441,
13,13 DESEMBER 2024,,197.339,68.787,15.925,282.051,
14,14 DESEMBER 2024,,173.844,82.953,18.569,275.366,
15,15 DESEMBER 2024,,141.867,73.684,14.998,230.549,
16,16 DESEMBER 2024,,192.972,75.223,17.949,286.144,
17,17 DESEMBER 2024,,164.263,65.691,15.039,244.993,
18,18 DESEMBER 2024,,192.598,69.065,18.837,280.500,
19,19 DESEMBER 2024,,185.411,70.370,19.886,275.667,
20,20 DESEMBER 2024,,194.500,75.867,20.512,290.879,
21,21 DESEMBER 2024,,187.443,80.943,19.703,288.089,
22,22 DESEMBER 2024,,166.400,79.147,20.846,266.393,
23,23 DESEMBER 2024,,188.504,75.896,19.716,284.116,
24,24 DESEMBER 2024,,182.078,78.700,20.683,281.461,
25,25 DESEMBER 2024,,144.927,74.558,18.140,237.625,
26,26 DESEMBER 2024,,170.022,76.597,17.694,264.313,
27,27 DESEMBER 2024,,188.681,75.548,18.683,282.912,
28,28 DESEMBER 2024,,181.658,78.993,19.430,280.081,
29,29 DESEMBER 2024,,157.012,76.397,13.508,246.917,
30,30 DESEMBER 2024,,160.564,73.716,20.226,254.506,
31,31 DESEMBER 2024,,185.049,71.136,17.227,273.412,
TOTAL,,,5.547.625,2.331.721,610.956,8.490.302,
,,,,,,,
III.Jumlah Kendaraan Masuk dan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 DESEMBER 2024,,330.946,135.143,34.870,500.959,
2,2 DESEMBER 2024,,382.146,144.230,50.730,577.106,
3,3 DESEMBER 2024,,386.280,142.194,49.614,578.088,
4,4 DESEMBER 2024,,401.965,141.326,45.330,588.621,
5,5 DESEMBER 2024,,359.360,140.493,48.035,547.888,
6,6 DESEMBER 2024,,355.390,154.373,50.219,559.982,
7,7 DESEMBER 2024,,324.171,147.560,46.153,517.884,
8,8 DESEMBER 2024,,308.716,143.162,41.641,493.519,
9,9 DESEMBER 2024,,331.150,131.086,41.309,503.545,
10,10 DESEMBER 2024,,332.972,137.581,41.669,512.222,
11,11 DESEMBER 2024,,348.664,144.293,47.775,540.732,
12,12 DESEMBER 2024,,384.592,146.085,43.741,574.418,
13,13 DESEMBER 2024,,388.892,132.494,33.583,554.969,
14,14 DESEMBER 2024,,353.183,155.792,39.738,548.713,
15,15 DESEMBER 2024,,297.776,138.473,33.410,469.659,
16,16 DESEMBER 2024,,396.422,141.421,40.606,578.449,
17,17 DESEMBER 2024,,338.095,122.354,36.082,496.531,
18,18 DESEMBER 2024,,361.866,124.795,43.177,529.838,
19,19 DESEMBER 2024,,356.565,134.623,51.684,542.872,
20,20 DESEMBER 2024,,388.181,150.852,49.752,588.785,
