,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: MEI 2024,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,147.924,63.815,22.068,233.807,
2,2 Mei 2024,,173.903,64.973,28.906,267.782,
3,3 Mei 2024,,156.603,62.545,29.120,248.268,
4,4 Mei 2024,,142.106,65.640,31.840,239.586,
5,5 Mei 2024,,153.475,66.384,25.323,245.182,
6,6 Mei 2024,,127.665,56.736,34.423,218.824,
7,7 Mei 2024,,141.241,58.537,31.969,231.747,
8,8 Mei 2024,,155.464,65.768,29.695,250.927,
9,9 Mei 2024,,148.305,67.511,25.664,241.480,
10,10 Mei 2024,,154.327,63.373,27.740,245.440,
11,11 Mei 2024,,163.824,66.076,27.943,257.843,
12,12 Mei 2024,,143.482,59.366,26.177,229.025,
13,13 Mei 2024,,176.195,59.139,31.892,267.226,
14,14 Mei 2024,,166.263,59.406,28.431,254.100,
15,15 Mei 2024,,186.561,61.296,27.906,275.763,
16,16 Mei 2024,,170.709,59.572,28.387,258.668,
17,17 Mei 2024,,164.514,56.869,27.898,249.281,
18,18 Mei 2024,,168.598,59.768,28.485,256.851,
19,19 Mei 2024,,136.966,56.181,23.002,216.149,
20,20 Mei 2024,,169.365,56.190,27.075,252.630,
21,21 Mei 2024,,172.008,54.816,24.438,251.262,
22,22 Mei 2024,,179.411,59.182,24.033,262.626,
23,23 Mei 2024,,135.507,57.282,21.974,214.763,
24,24 Mei 2024,,150.299,57.657,22.243,230.199,
25,25 Mei 2024,,169.020,61.027,20.429,250.476,
26,26 Mei 2024,,148.733,56.131,21.653,226.517,
27,27 Mei 2024,,169.558,54.429,25.596,249.583,
28,28 Mei 2024,,173.113,53.850,24.576,251.539,
29,29 Mei 2024,,171.910,53.325,27.421,252.656,
30,30 Mei 2024,,174.936,53.723,24.916,253.575,
31,31 Mei 2024,,179.396,58.275,25.708,263.379,
TOTAL,,,4.971.381,1.848.842,826.931,7.647.154,
,,,,,,,
II.Kendaraan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,176.457,71.867,15.487,263.811,
2,2 Mei 2024,,220.748,74.297,16.995,312.040,
3,3 Mei 2024,,213.511,73.792,16.597,303.900,
4,4 Mei 2024,,184.054,79.306,18.297,281.657,
5,5 Mei 2024,,169.306,74.381,13.114,256.801,
6,6 Mei 2024,,179.086,70.271,17.415,266.772,
7,7 Mei 2024,,195.478,69.483,16.808,281.769,
8,8 Mei 2024,,218.683,79.852,20.022,318.557,
9,9 Mei 2024,,178.200,76.571,17.545,272.316,
10,10 Mei 2024,,187.689,76.655,18.837,283.181,
11,11 Mei 2024,,199.413,80.031,17.919,297.363,
12,12 Mei 2024,,172.380,75.212,13.435,261.027,
13,13 Mei 2024,,206.532,73.972,17.542,298.046,
14,14 Mei 2024,,211.256,78.085,18.901,308.242,
15,15 Mei 2024,,221.748,80.197,18.741,320.686,
16,16 Mei 2024,,213.745,76.671,17.051,307.467,
17,17 Mei 2024,,216.249,78.177,17.534,311.960,
18,18 Mei 2024,,210.377,81.795,17.770,309.942,
19,19 Mei 2024,,171.709,71.213,14.036,256.958,
20,20 Mei 2024,,211.873,71.053,17.687,300.613,
21,21 Mei 2024,,208.096,72.547,17.933,298.576,
22,22 Mei 2024,,219.108,74.385,17.119,310.612,
23,23 Mei 2024,,162.757,71.384,19.437,253.578,
24,24 Mei 2024,,183.874,72.922,19.201,275.997,
25,25 Mei 2024,,202.143,76.547,15.982,294.672,
26,26 Mei 2024,,179.665,71.619,14.607,265.891,
27,27 Mei 2024,,209.213,70.258,16.286,295.757,
28,28 Mei 2024,,209.883,69.913,16.785,296.581,
29,29 Mei 2024,,205.307,69.549,16.766,291.622,
30,30 Mei 2024,,215.478,70.429,15.896,301.803,
31,31 Mei 2024,,214.945,71.518,16.766,303.229,
TOTAL,,,6.168.963,2.303.952,528.511,9.001.426,
,,,,,,,
III.Jumlah Kendaraan Masuk dan Keluar,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
1,1 Mei 2024,,324.381,135.682,37.555,497.618,
2,2 Mei 2024,,394.651,139.270,45.901,579.822,
3,3 Mei 2024,,370.114,136.337,45.717,552.168,
4,4 Mei 2024,,326.160,144.946,50.137,521.243,
5,5 Mei 2024,,322.781,140.765,38.437,501.983,
6,6 Mei 2024,,306.751,127.007,51.838,485.596,
7,7 Mei 2024,,336.719,128.020,48.777,513.516,
8,8 Mei 2024,,374.147,145.620,49.717,569.484,
9,9 Mei 2024,,326.505,144.082,43.209,513.796,
10,10 Mei 2024,,342.016,140.028,46.577,528.621,
11,11 Mei 2024,,363.237,146.107,45.862,555.206,
12,12 Mei 2024,,315.862,134.578,39.612,490.052,
13,13 Mei 2024,,382.727,133.111,49.434,565.272,
14,14 Mei 2024,,377.519,137.491,47.332,562.342,
15,15 Mei 2024,,408.309,141.493,46.647,596.449,
16,16 Mei 2024,,384.454,136.243,45.438,566.135,
17,17 Mei 2024,,380.763,135.046,45.432,561.241,
18,18 Mei 2024,,378.975,141.563,46.255,566.793,
19,19 Mei 2024,,308.675,127.394,37.038,473.107,
20,20 Mei 2024,,381.238,127.243,44.762,553.243,
21,21 Mei 2024,,380.104,127.363,42.371,549.838,
22,22 Mei 2024,,398.519,133.567,41.152,573.238,
23,23 Mei 2024,,298.264,128.666,41.411,468.341,
24,24 Mei 2024,,334.173,130.579,41.444,506.196,
25,25 Mei 2024,,371.163,137.574,36.411,545.148,
26,26 Mei 2024,,328.398,127.750,36.260,492.408,
27,27 Mei 2024,,378.771,124.687,41.882,545.340,
28,28 Mei 2024,,382.996,123.763,41.361,548.120,
29,29 Mei 2024,,377.217,122.874,44.187,544.278,
